source_repo,source_section,category,task,dataset,date,samples,modal,annotations,data_sources,gsd,paper,paper_url,link,link_url,image_size,text_count,image_count,content,description,entry_title,entry_url,mentioned_datasets,notes
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains",Yolov3 & COWC dataset,,,,,,,,,CarCounting,https://github.com/JacksonPeoples/CarCounting,,,,using Yolov3 & COWC dataset,using Yolov3 & COWC dataset,CarCounting,https://github.com/JacksonPeoples/CarCounting,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,"Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains","Object detection - Cars, vehicles & trains",RSVC2021-Dataset,,,,,,,,,RSVC2021-Dataset,https://github.com/YinongGuo/RSVC2021-Dataset,,,,"A dataset for Vehicle Counting in Remote Sensing images, created from the DOTA & ITCVD","A dataset for Vehicle Counting in Remote Sensing images, created from the DOTA & ITCVD",RSVC2021-Dataset,https://github.com/YinongGuo/RSVC2021-Dataset,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,RarePlanes dataset,,,,,,,,,yoltv4,https://github.com/avanetten/yoltv4,,,,yoltv4 includes examples on the RarePlanes dataset,yoltv4 includes examples on the RarePlanes dataset,yoltv4,https://github.com/avanetten/yoltv4,RarePlanes dataset,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,aircraft-detection,,,,,,,,,aircraft-detection,https://github.com/hakeemtfrank/aircraft-detection,,,,experiments to test the performance of a Gaussian process (GP) classifier with various kernels on the UC Merced land use land cover (LULC) dataset,experiments to test the performance of a Gaussian process (GP) classifier with various kernels on the UC Merced land use land cover (LULC) dataset,aircraft-detection,https://github.com/hakeemtfrank/aircraft-detection,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,aircraft-detection-from-satellite-images-yolov3,,,,,,,,,aircraft-detection-from-satellite-images-yolov3,https://github.com/emrekrtorun/aircraft-detection-from-satellite-images-yolov3,,,,trained on kaggle cgi-planes-in-satellite-imagery-w-bboxes dataset,trained on kaggle cgi-planes-in-satellite-imagery-w-bboxes dataset,aircraft-detection-from-satellite-images-yolov3,https://github.com/emrekrtorun/aircraft-detection-from-satellite-images-yolov3,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,HRPlanesv2-Data-Set,,,,,,,,,HRPlanesv2-Data-Set,https://github.com/dilsadunsal/HRPlanesv2-Data-Set,,,,YOLOv4 and YOLOv5 weights trained on the HRPlanesv2 dataset,YOLOv4 and YOLOv5 weights trained on the HRPlanesv2 dataset,HRPlanesv2-Data-Set,https://github.com/dilsadunsal/HRPlanesv2-Data-Set,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,PlanesNet dataset,,,,,,,,,ergo-planes-detector,https://github.com/evilsocket/ergo-planes-detector,,,,"An ergo based project that relies on a convolutional neural network to detect airplanes from satellite imagery, uses the PlanesNet dataset","An ergo based project that relies on a convolutional neural network to detect airplanes from satellite imagery, uses the PlanesNet dataset",ergo-planes-detector,https://github.com/evilsocket/ergo-planes-detector,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,pytorch-remote-sensing,,,,,,,,,pytorch-remote-sensing,https://github.com/miko7879/pytorch-remote-sensing,,,,Aircraft detection using the 'Airbus Aircraft Detection' dataset and Faster-RCNN with ResNet-50 backbone using pytorch,Aircraft detection using the 'Airbus Aircraft Detection' dataset and Faster-RCNN with ResNet-50 backbone using pytorch,pytorch-remote-sensing,https://github.com/miko7879/pytorch-remote-sensing,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,HRPlanes dataset; YOLOv4 and Faster R-CNN networks trained with HRPlanes dataset,,,,,,,,,HRPlanes,https://github.com/TolgaBkm/HRPlanes,,,,weights of YOLOv4 and Faster R-CNN networks trained with HRPlanes dataset,weights of YOLOv4 and Faster R-CNN networks trained with HRPlanes dataset,HRPlanes,https://github.com/TolgaBkm/HRPlanes,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,YOLOv5 and the RarePlanes dataset,,,,,,,article,https://medium.com/artificialis/detecting-aircrafts-on-airbus-pleiades-imagery-with-yolov5-5f3d464b75ad,rareplanes-yolov5,https://github.com/jeffaudi/rareplanes-yolov5,,,,"using YOLOv5 and the RarePlanes dataset to detect and classify sub-characteristics of aircraft, with article","using YOLOv5 and the RarePlanes dataset to detect and classify sub-characteristics of aircraft, with article",rareplanes-yolov5,https://github.com/jeffaudi/rareplanes-yolov5,article,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Object detection - Planes & aircraft,Incrementally Tuning Synthetic Training Dataset,,,,,,,,,OnlyPlanes,https://github.com/naivelogic/OnlyPlanes,,,,Incrementally Tuning Synthetic Training Datasets for Satellite Object Detection,Incrementally Tuning Synthetic Training Datasets for Satellite Object Detection,OnlyPlanes,https://github.com/naivelogic/OnlyPlanes,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Infrastructure & utilities,Object detection - Infrastructure & utilities,Object detection - Infrastructure & utilities,PCAN; dataset,,,,,,,,,PCAN,https://www.mdpi.com/2072-4292/13/7/1243,,,,"Part-Based Context Attention Network for Thermal Power Plant Detection in Remote Sensing Imagery, with dataset","Part-Based Context Attention Network for Thermal Power Plant Detection in Remote Sensing Imagery, with dataset",PCAN,https://www.mdpi.com/2072-4292/13/7/1243,dataset,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Oil storage tank detection,Object detection - Oil storage tank detection,Object detection - Oil storage tank detection,Airbus Oil Storage Detection dataset,,,,,,,,,oil_storage-detector,https://github.com/TheodorEmanuelsson/oil_storage-detector,,,,using yolov5 and the Airbus Oil Storage Detection dataset,using yolov5 and the Airbus Oil Storage Detection dataset,oil_storage-detector,https://github.com/TheodorEmanuelsson/oil_storage-detector,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Oil storage tank detection,Object detection - Oil storage tank detection,Object detection - Oil storage tank detection,Fast-Large-Image-Object-Detection-yolov7,,,,,,,,,Fast-Large-Image-Object-Detection-yolov7,https://github.com/shah0nawaz/Fast-Large-Image-Object-Detection-yolov7,,,,The oil yolov7 model is trained on oil storage tanks (OST) dataset,The oil yolov7 model is trained on oil storage tanks (OST) dataset,Fast-Large-Image-Object-Detection-yolov7,https://github.com/shah0nawaz/Fast-Large-Image-Object-Detection-yolov7,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Tensorflow Benchmarks for Object Detection in Aerial Images,,,,,,,,,Tensorflow Benchmarks for Object Detection in Aerial Images,https://github.com/yangxue0827/RotationDetection,,,,Tensorflow Benchmarks for Object Detection in Aerial Images,Tensorflow Benchmarks for Object Detection in Aerial Images,Tensorflow Benchmarks for Object Detection in Aerial Images,https://github.com/yangxue0827/RotationDetection,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Pytorch Benchmarks for Object Detection in Aerial Images,,,,,,,,,Pytorch Benchmarks for Object Detection in Aerial Images,https://github.com/dingjiansw101/AerialDetection,,,,Pytorch Benchmarks for Object Detection in Aerial Images,Pytorch Benchmarks for Object Detection in Aerial Images,Pytorch Benchmarks for Object Detection in Aerial Images,https://github.com/dingjiansw101/AerialDetection,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,View 2018 Object Detection Challenge,,,,,,,,,xview-yolov3,https://github.com/ultralytics/xview-yolov3,,,,xView 2018 Object Detection Challenge: YOLOv3 Training and Inference,xView 2018 Object Detection Challenge: YOLOv3 Training and Inference,xview-yolov3,https://github.com/ultralytics/xview-yolov3,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Faster RCNN for xView satellite data challenge,,,,,,,,,Faster RCNN for xView satellite data challenge,https://github.com/samirsen/small-object-detection,,,,Faster RCNN for xView satellite data challenge,Faster RCNN for xView satellite data challenge,Faster RCNN for xView satellite data challenge,https://github.com/samirsen/small-object-detection,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Object Detection Satellite Imagery Multi-vehicles Dataset (SIMD),,,,,,,,,Object Detection Satellite Imagery Multi-vehicles Dataset (SIMD),https://github.com/asimniazi63/Object-Detection-on-Satellite-Images,,,,"RetinaNet,Yolov3 and Faster RCNN for multi object detection on satellite images dataset","RetinaNet,Yolov3 and Faster RCNN for multi object detection on satellite images dataset",Object Detection Satellite Imagery Multi-vehicles Dataset (SIMD),https://github.com/asimniazi63/Object-Detection-on-Satellite-Images,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Electric-Pylon-Detection-in-RSI,,,,,,,,,Electric-Pylon-Detection-in-RSI,https://github.com/qsjxyz/Electric-Pylon-Detection-in-RSI,,,,a dataset which contains 1500 remote sensing images of electric pylons used to train ten deep learning models,a dataset which contains 1500 remote sensing images of electric pylons used to train ten deep learning models,Electric-Pylon-Detection-in-RSI,https://github.com/qsjxyz/Electric-Pylon-Detection-in-RSI,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,RetinaNet-PyTorch,,,,,,,,,RetinaNet-PyTorch,https://github.com/HsLOL/RetinaNet-PyTorch,,,,RetinaNet implementation on remote sensing ship dataset (SSDD),RetinaNet implementation on remote sensing ship dataset (SSDD),RetinaNet-PyTorch,https://github.com/HsLOL/RetinaNet-PyTorch,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Object-Detection-YoloV3-RetinaNet-FasterRCNN,,,,,,,,,Object-Detection-YoloV3-RetinaNet-FasterRCNN,https://github.com/bostankhan6/Object-Detection-YoloV3-RetinaNet-FasterRCNN,,,,trained on a private dataset,trained on a private dataset,Object-Detection-YoloV3-RetinaNet-FasterRCNN,https://github.com/bostankhan6/Object-Detection-YoloV3-RetinaNet-FasterRCNN,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,Google-earth-Object-Recognition,,,,,,,,,Google-earth-Object-Recognition,https://github.com/InnovAIco/Google-earth-Object-Recognition,,,,Code for training and evaluating on Dior Dataset (Google Earth Images) using RetinaNet and YOLOV5,Code for training and evaluating on Dior Dataset (Google Earth Images) using RetinaNet and YOLOV5,Google-earth-Object-Recognition,https://github.com/InnovAIco/Google-earth-Object-Recognition,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,DIOR dataset,,,,,,,,,dior_detect,https://github.com/hm-better/dior_detect,,,,benchmarks for object detection on DIOR dataset,benchmarks for object detection on DIOR dataset,dior_detect,https://github.com/hm-better/dior_detect,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,NWD,,,,,,,,,NWD,https://github.com/jwwangchn/NWD,,,,A Normalized Gaussian Wasserstein Distance for Tiny Object Detection. Uses AI-TOD dataset,A Normalized Gaussian Wasserstein Distance for Tiny Object Detection. Uses AI-TOD dataset,NWD,https://github.com/jwwangchn/NWD,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,small-object-detection-benchmark,,,,,,,,,small-object-detection-benchmark,https://github.com/fcakyon/small-object-detection-benchmark,,,,Slicing Aided Hyper Inference and Fine-tuning for Small Object Detection (SAHI),Slicing Aided Hyper Inference and Fine-tuning for Small Object Detection (SAHI),small-object-detection-benchmark,https://github.com/fcakyon/small-object-detection-benchmark,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
https://github.com/satellite-image-deep-learning/techniques,Object detection - Miscellaneous,Object detection - Miscellaneous,Object detection - Miscellaneous,YOLOV7 applied to xView1 Dataset,,,,,,,,,Satellite_Imagery_Detection_YOLOV7,https://github.com/Radhika-Keni/Satellite_Imagery_Detection_YOLOV7,,,,YOLOV7 applied to xView1 Dataset,YOLOV7 applied to xView1 Dataset,Satellite_Imagery_Detection_YOLOV7,https://github.com/Radhika-Keni/Satellite_Imagery_Detection_YOLOV7,,extracted from dataset/benchmark/challenge mention in techniques README; verify before citing
