source_repo,source_readme,source_line,source_section,entry_name,entry_url,action,link_status,target_file,target_id,description
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,90,Sentinel-2 (Optical),MuS2: A Benchmark for Sentinel-2 Multi-Image Super-Resolution,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2F1JMRAT,added,202,datasets.csv,source/satellite-image-deep-learning-datasets/mus2-a-benchmark-for-sentinel-2-multi-image-super-resolution,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,93,Sentinel-2 (Optical),mayrajeo S2 ship detection,https://github.com/mayrajeo/ship-detection,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/mayrajeo-s2-ship-detection,labels for Detecting marine vessels from Sentinel-2 imagery with YOLOv8
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,96,Sentinel-2 (Optical),California Wildfire GeoImaging Dataset - CWGID,https://arxiv.org/abs/2409.16380,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/california-wildfire-geoimaging-dataset-cwgid,Development and Application of a Sentinel-2 Satellite Imagery Dataset for Deep-Learning Driven Forest Wildfire Detection
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,97,Sentinel-2 (Optical),substation-seg,https://github.com/Lindsay-Lab/substation-seg,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/substation-seg,segmenting substations dataset
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,98,Sentinel-2 (Optical),PhilEO-downstream,https://huggingface.co/datasets/PhilEO-community/PhilEO-downstream,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/phileo-downstream,"a 400GB Sentinel-2 dataset for building density estimation, road segmentation, and land cover classification."
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,99,Sentinel-2 (Optical),PhilEO-pretrain,https://huggingface.co/datasets/PhilEO-community/PhilEO-pretrain,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/phileo-pretrain,a 500GB global dataset of Sentinel-2 images for model pre-training.
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,100,Sentinel-2 (Optical),KappaSet: Sentinel-2 KappaZeta Cloud and Cloud Shadow Masks,https://zenodo.org/records/7100327,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/kappaset-sentinel-2-kappazeta-cloud-and-cloud-shadow-masks,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,102,Sentinel-2 (Optical),Sentinel-2 reference cloud masks generated by an active learning method,https://zenodo.org/records/1460961,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-reference-cloud-masks-generated-by-an-active-learning-method,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,103,Sentinel-2 (Optical),Cloud gap-filling with deep learning for improved grassland monitoring,https://zenodo.org/records/11651601,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/cloud-gap-filling-with-deep-learning-for-improved-grassland-monitoring,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,104,Sentinel-2 (Optical),Remote Sensing Ship Wake Dataset,https://github.com/zjze/RSSW_Dateset,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/remote-sensing-ship-wake-dataset,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,105,Sentinel-2 (Optical),ERAS-dataset,https://github.com/cscribano/ERAS-dataset,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/eras-dataset,Emilia-Romagna Agri Seg (ERAS) field segmentation dataset
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,106,Sentinel-2 (Optical),Sentinel 2 super-resolved data cubes - 92 scenes over 2 regions in Switzerland spanning 5 years,https://web.archive.org/web/20241003205022/https://ieee-dataport.org/documents/sentinel-2-super-resolved-data-cubes-92-scenes-over-2-regions-switzerland-spanning-5-years,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/sentinel-2-super-resolved-data-cubes-92-scenes-over-2-regions-in-switzerland-spanning-5-years,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,109,Sentinel-2 (Optical),CanadaFireSat,https://github.com/eceo-epfl/CanadaFireSat-Data,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/canadafiresat,Sentinel-2 Level-1C time series
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,113,Sentinel-2 (Optical),MSSWD - Multi-Spectral Ship Wake Dataset,https://zenodo.org/records/13870226,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/msswd-multi-spectral-ship-wake-dataset,
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,114,Sentinel-2 (Optical),MOSAIC-SEN2-CC,https://github.com/ChangeCapsInRS/MOSAIC-SEN2-CC,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/mosaic-sen2-cc,A Multispectral Dataset and Adaptation Framework for Remote Sensing Change Captioning
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,115,Sentinel-2 (Optical),PLUTo,https://zenodo.org/records/15629667,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/pluto,post-deforestation land uses across the tropics
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,117,Sentinel-2 (Optical),GSDD,https://zenodo.org/records/17161810,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/gsdd,Global Supraglacial Debris Dataset
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,118,Sentinel-2 (Optical),MT4AFE,https://zenodo.org/records/15395167,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/mt4afe,Multi-Task Learning for Agricultural Field Extraction
https://github.com/satellite-image-deep-learning/datasets,https://raw.githubusercontent.com/satellite-image-deep-learning/datasets/main/README.md,121,Sentinel-2 (Optical),MOSAIC-SEN2-CC,https://zenodo.org/records/19677262,added,200,datasets.csv,source/satellite-image-deep-learning-datasets/mosaic-sen2-cc,A Multispectral Change Captioning Dataset.
